# tools/reflection/engine_split.py 1.0.0 -- authoritative UE 5.4.4 module name set at changelist 35576357 (++UE5+Release-5.4, research/unreal/engine-version.json), read from Engine/Source/**/*.Build.cs and Engine/Plugins/**/*.uplugin
# 1841 distinct names: 653 from Engine/Source (1:1 with 653 *.Build.cs files), 1188 distinct from Engine/Plugins (from 609 *.uplugin files' Modules[] arrays)
module_name	source_kind	evidence_file	evidence_line
AvalancheTagEditor	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	217
AvalancheText	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	161
AvalancheTextEditor	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	167
AvalancheTransition	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	183
AvalancheTransitionEditor	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	189
AvalancheViewport	uplugin	Engine/Plugins/Experimental/Avalanche/Avalanche.uplugin	172
AvfMedia	uplugin	Engine/Plugins/Media/AvfMedia/AvfMedia.uplugin	20
AvfMediaCapture	uplugin	Engine/Plugins/Media/AvfMedia/AvfMedia.uplugin	42
AvfMediaEditor	uplugin	Engine/Plugins/Media/AvfMedia/AvfMedia.uplugin	26
AvfMediaFactory	uplugin	Engine/Plugins/Media/AvfMedia/AvfMedia.uplugin	31
AvidDNxHDDecoderElectra	uplugin	Engine/Plugins/Media/AvidDNxHDDecoderElectra/AvidDNxHDDecoderElectra.uplugin	17
AvidDNxMedia	uplugin	Engine/Plugins/Media/AvidDNxMedia/AvidDNxMedia.uplugin	16
AxFImporter	uplugin	Engine/Plugins/Enterprise/AxFImporter/AxFImporter.uplugin	22
AzureSpatialAnchors	uplugin	Engine/Plugins/Runtime/AR/AzureSpatialAnchors/AzureSpatialAnchors.uplugin	26
AzureSpatialAnchorsForARCore	uplugin	Engine/Plugins/Runtime/AR/AzureSpatialAnchorsForARCore/AzureSpatialAnchorsForARCore.uplugin	23
AzureSpatialAnchorsForARKit	uplugin	Engine/Plugins/Runtime/AR/AzureSpatialAnchorsForARKit/AzureSpatialAnchorsForARKit.uplugin	23
BLAKE3	build.cs	Engine/Source/ThirdParty/BLAKE3/BLAKE3.Build.cs	6
BSPUtils	build.cs	Engine/Source/Developer/BSPUtils/BSPUtils.Build.cs	5
